Total Qty,Reg Qty,Foil Qty,Card,Set,Mana Cost,Card Type,Color,Rarity,Mvid,Single Price,Single Foil Price,Total Price,Price Source,Notes
4,4,0,Swords to Plowshares,Ice Age,W,Instant,White,Uncommon,2714,6.83,0.00,27.32,0x108013a00,
4,4,0,Quirion Elves,Mirage,1G,Creature  - Elf Druid,Green,Common,3403,0.19,0.00,0.76,0x108013a00,
4,4,0,Rampant Growth,Mirage,1G,Sorcery,Green,Common,3404,0.94,0.00,3.76,0x108013a00,
4,4,0,Bad River,Mirage,,Land,Land,Uncommon,3570,3.75,0.00,15.00,0x108013a00,
4,4,0,Flood Plain,Mirage,,Land,Land,Uncommon,3572,2.16,0.00,8.64,0x108013a00,
4,4,0,Grasslands,Mirage,,Land,Land,Uncommon,3573,2.14,0.00,8.56,0x108013a00,
4,4,0,Mountain Valley,Mirage,,Land,Land,Uncommon,3574,2.13,0.00,8.52,0x108013a00,
4,4,0,Rocky Tar Pit,Mirage,,Land,Land,Uncommon,3575,1.07,0.00,4.28,0x108013a00,
4,4,0,Quirion Ranger,Visions,G,Creature  - Elf,Green,Common,3674,4.66,0.00,18.64,0x108013a00,
4,4,0,Buried Alive,Weatherlight,2B,Sorcery,Black,Uncommon,4451,4.81,0.00,19.24,0x108013a00,
4,4,0,Reanimate,Tempest,B,Sorcery,Black,Uncommon,4680,14.00,0.00,56.00,0x108013a00,
4,4,0,Counterspell,Tempest,UU,Instant,Blue,Common,4693,1.95,0.00,7.80,0x108013a00,
4,4,0,Mana Leak,Stronghold,1U,Instant,Blue,Common,5182,0.47,0.00,1.88,0x108013a00,
4,4,0,Spike Feeder,Stronghold,1GG,Creature  - Spike,Green,Uncommon,5239,2.03,0.00,8.12,0x108013a00,
4,4,0,Wall of Blossoms,Stronghold,1G,Creature  - Plant Wall,Green,Uncommon,5265,1.09,0.00,4.36,0x108013a00,
4,4,0,Exhume,Urza's Saga,1B,Sorcery,Black,Common,5556,1.61,0.00,6.44,0x108013a00,
4,4,0,Soul Warden,Exodus,W,Creature  - Human Cleric,White,Common,6033,0.92,0.00,3.68,0x108013a00,
4,4,0,Erratic Portal,Exodus,4,Artifact,Artifact,Rare,6163,6.96,0.00,27.84,0x108013a00,
4,4,0,Cloud of Faeries,Urza's Legacy,1U,Creature  - Faerie,Blue,Common,11588,2.41,44.56,9.64,0x108013a00,
4,4,0,Frantic Search,Urza's Legacy,2U,Instant,Blue,Common,12375,1.00,60.60,4.00,0x108013a00,
4,4,0,Tinker,Urza's Legacy,2U,Sorcery,Blue,Uncommon,12383,2.30,30.44,9.20,0x108013a00,
4,4,0,Crop Rotation,Urza's Legacy,G,Instant,Green,Common,12432,1.10,139.66,4.40,0x108013a00,
4,4,0,Elvish Pioneer,Onslaught,G,Creature  - Elf Druid,Green,Common,12463,0.26,11.62,1.04,0x108013a00,
4,4,0,Phyrexian Reclamation,Urza's Legacy,B,Enchantment,Black,Uncommon,12945,4.59,51.97,18.36,0x108013a00,
4,4,0,Gush,Mercadian Masques,4U,Instant,Blue,Common,20404,0.72,45.29,2.88,0x108013a00,
4,4,0,Daze,Nemesis,1U,Instant,Blue,Common,21284,1.55,126.99,6.20,0x108013a00,
4,4,0,Crusading Knight,Invasion,2WW,Creature  - Human Knight,White,Rare,22963,1.07,20.49,4.28,0x108013a00,
4,4,0,Opt,Invasion,U,Instant,Blue,Common,22988,0.74,60.13,2.96,0x108013a00,
4,4,0,Nightscape Familiar,Planeshift,1B,Creature  - Zombie,Black,Common,25693,0.49,15.77,1.96,0x108013a00,
4,4,0,Grave Defiler,Apocalypse,3B,Creature  - Zombie,Black,Uncommon,27662,0.18,2.44,0.72,0x108013a00,
4,4,0,Obsessive Search,Torment,U,Instant,Blue,Common,29721,0.25,2.58,1.00,0x108013a00,
4,4,0,Careful Study,Odyssey,U,Sorcery,Blue,Common,29727,3.33,46.48,13.32,0x108013a00,
4,4,0,Malevolent Awakening,Odyssey,1BB,Enchantment,Black,Uncommon,30560,0.24,1.04,0.96,0x108013a00,
4,4,0,Shepherd of Rot,Onslaught,1B,Creature  - Zombie Cleric,Black,Common,39464,0.78,9.63,3.12,0x108013a00,
4,4,0,Pulse of the Tangle,Darksteel,1GG,Sorcery,Green,Rare,39690,0.24,0.96,0.96,0x108013a00,
4,4,0,Wirewood Savage,Onslaught,2G,Creature  - Elf,Green,Common,39703,0.15,1.87,0.60,0x108013a00,
4,4,0,Birchlore Rangers,Onslaught,G,Creature  - Elf Druid,Green,Common,39836,0.44,7.55,1.76,0x108013a00,
4,4,0,Secluded Steppe,Onslaught,,Land,Land,Common,41137,0.18,5.27,0.72,0x108013a00,
4,4,0,Lonely Sandbar,Onslaught,,Land,Land,Common,41138,0.23,10.09,0.92,0x108013a00,
4,4,0,Barren Moor,Onslaught,,Land,Land,Common,41139,0.24,14.86,0.96,0x108013a00,
4,4,0,Forgotten Cave,Onslaught,,Land,Land,Common,41140,0.25,16.85,1.00,0x108013a00,
4,4,0,Gempalm Polluter,Legions,5B,Creature  - Zombie,Black,Common,42065,0.46,7.53,1.84,0x108013a00,
4,4,0,Carrion Feeder,Scourge,B,Creature  - Zombie,Black,Common,43512,0.50,11.50,2.00,0x108013a00,
4,4,0,Krosan Warchief,Scourge,2G,Creature  - Beast,Green,Uncommon,43535,0.20,1.88,0.80,0x108013a00,
4,4,0,One with Nature,Scourge,G,Enchantment  - Aura,Green,Uncommon,43543,3.56,15.69,14.24,0x108013a00,
4,4,0,Noxious Ghoul,Legions,3BB,Creature  - Zombie,Black,Uncommon,44276,2.17,13.32,8.68,0x108013a00,
4,4,0,Silver Knight,Scourge,WW,Creature  - Human Knight,White,Uncommon,44313,0.23,1.21,0.92,0x108013a00,
4,4,0,Infernal Caretaker,Legions,3B,Creature  - Human Cleric,Black,Common,44411,0.12,0.33,0.48,0x108013a00,
4,4,0,Hunting Pack,Scourge,5GG,Instant,Green,Uncommon,45848,0.15,0.51,0.60,0x108013a00,
4,4,0,Wirewood Symbiote,Scourge,G,Creature  - Insect,Green,Uncommon,45859,5.02,30.82,20.08,0x108013a00,
4,4,0,Ancient Den,Mirrodin,,Artifact Land,Land,Common,46063,3.13,16.39,12.52,0x108013a00,
4,4,0,Seat of the Synod,Mirrodin,,Artifact Land,Land,Common,46064,1.31,44.99,5.24,0x108013a00,
4,4,0,Vault of Whispers,Mirrodin,,Artifact Land,Land,Common,46065,1.07,20.81,4.28,0x108013a00,
4,4,0,Tree of Tales,Mirrodin,,Artifact Land,Land,Common,46067,0.89,9.38,3.56,0x108013a00,
1,1,0,Sword of Fire and Ice,Darksteel,3,Artifact  - Equipment,Artifact,Rare,46429,45.35,100.55,45.35,0x108013a00,
4,4,0,Myr Servitor,Fifth Dawn,1,Artifact Creature  - Myr,Artifact,Common,50179,0.19,1.70,0.76,0x108013a00,
4,4,0,Sakura-Tribe Elder,Champions of Kamigawa,1G,Creature  - Snake Shaman,Green,Common,50510,1.07,13.11,4.28,0x108013a00,
4,4,0,Spectral Shift,Fifth Dawn,1U,Instant,Blue,Rare,73572,0.49,0.00,1.96,0x108013a00,
4,4,0,Lantern of Insight,Fifth Dawn,1,Artifact,Artifact,Uncommon,73927,1.09,6.18,4.36,0x108013a00,
4,4,0,Traproot Kami,Betrayers of Kamigawa,G,Creature  - Spirit,Green,Common,74627,0.28,2.16,1.12,0x108013a00,
4,4,0,Glimpse of Nature,Champions of Kamigawa,G,Sorcery,Green,Rare,75241,21.17,55.43,84.68,0x108013a00,
4,4,0,Gifts Ungiven,Champions of Kamigawa,3U,Instant,Blue,Rare,79090,3.60,18.94,14.40,0x108013a00,
2,2,0,Umezawa's Jitte,Betrayers of Kamigawa,2,Legendary Artifact  - Equipment,Artifact,Rare,81979,27.84,168.12,55.68,0x108013a00,
4,4,0,Glorious Anthem,Ninth Edition,1WW,Enchantment,White,Rare,83106,0.82,5.95,3.28,0x108013a00,
1,1,0,Silklash Spider,Ninth Edition,3GG,Creature  - Spider,Green,Rare,83463,0.50,3.10,0.50,0x108013a00,
4,4,0,Freed from the Real,Saviors of Kamigawa,2U,Enchantment  - Aura,Blue,Common,87336,3.40,17.80,13.60,0x108013a00,
4,4,0,Dimir Cutpurse,Ravnica: City of Guilds,1UB,Creature  - Spirit,Gold,Rare,87906,0.66,1.44,2.64,0x108013a00,
4,4,0,Darkblast,Ravnica: City of Guilds,B,Instant,Black,Uncommon,87922,0.48,8.71,1.92,0x108013a00,
4,4,0,Muddle the Mixture,Ravnica: City of Guilds,UU,Instant,Blue,Common,88955,6.36,49.72,25.44,0x108013a00,
4,4,0,Golgari Thug,Ravnica: City of Guilds,1B,Creature  - Human Warrior,Black,Uncommon,88994,1.66,10.37,6.64,0x108013a00,
4,4,0,Life from the Loam,Ravnica: City of Guilds,1G,Sorcery,Green,Rare,89001,14.38,71.66,57.52,0x108013a00,
4,4,0,Stone-Seeder Hierophant,Ravnica: City of Guilds,2GG,Creature  - Human Druid,Green,Common,89041,0.28,5.59,1.12,0x108013a00,
4,4,0,Carven Caryatid,Ravnica: City of Guilds,1GG,Creature  - Spirit,Green,Uncommon,89048,0.36,1.04,1.44,0x108013a00,
1,1,0,Chord of Calling,Ravnica: City of Guilds,XGGG,Instant,Green,Rare,89064,6.29,52.37,6.29,0x108013a00,
4,4,0,Cloudstone Curio,Ravnica: City of Guilds,3,Artifact,Artifact,Rare,89089,55.40,53.06,221.60,0x108013a00,
4,4,0,Silhana Ledgewalker,Guildpact,1G,Creature  - Elf Rogue,Green,Common,96825,0.56,5.41,2.24,0x108013a00,
1,1,0,Orzhov Pontiff,Guildpact,1WB,Creature  - Human Cleric,Gold,Rare,96844,0.89,5.61,0.89,0x108013a00,
4,4,0,Wild Cantor,Guildpact,{G/R},Creature  - Human Druid,Gold,Common,96934,0.25,6.92,1.00,0x108013a00,
4,4,0,Coiling Oracle,Dissension,GU,Creature  - Snake Elf Druid,Gold,Common,97106,0.27,4.17,1.08,0x108013a00,
4,4,0,Castigate,Guildpact,WB,Sorcery,Gold,Common,97219,0.24,1.69,0.96,0x108013a00,
4,4,0,Wall of Roots,Time Spiral ""Timeshifted"",1G,Creature — Plant Wall,Green,Rare,106662,0.69,23.97,2.76,0x108013a00,
4,4,0,Indrik Stomphowler,Dissension,4G,Creature  - Beast,Green,Uncommon,107377,0.17,2.02,0.68,0x108013a00,
4,4,0,Utopia Sprawl,Dissension,G,Enchantment  - Aura,Green,Common,107569,7.95,35.02,31.80,0x108013a00,
4,4,0,Cavalry Master,Time Spiral,2WW,Creature  - Human Knight,White,Uncommon,108903,0.16,0.00,0.64,0x108013a00,
4,4,0,Pentarch Paladin,Time Spiral,2WWW,Creature  - Human Knight,White,Rare,110533,1.06,4.26,4.24,0x108013a00,
4,4,0,Norin the Wary,Time Spiral,R,Legendary Creature  - Human Warrior,Red,Rare,113512,2.10,21.86,8.40,0x108013a00,
1,1,0,Mangara of Corondor,Time Spiral,1WW,Legendary Creature  - Human Wizard,White,Rare,113563,0.58,6.49,0.58,0x108013a00,
4,4,0,Knight of the Holy Nimbus,Time Spiral,WW,Creature  - Human Rebel Knight,White,Uncommon,118907,0.28,4.00,1.12,0x108013a00,
4,4,0,Benalish Cavalry,Time Spiral,1W,Creature  - Human Knight,White,Common,122082,0.10,0.23,0.40,0x108013a00,
4,4,0,Sword of the Meek,Future Sight,2,Artifact  - Equipment,Artifact,Uncommon,126215,2.59,33.00,10.36,0x108013a00,
4,4,0,Mind Bend,Tenth Edition,U,Instant,Blue,Rare,129644,0.42,4.09,1.68,0x108013a00,
1,1,0,Terramorphic Expanse,Tenth Edition,,Land,Land,Common,129881,0.35,2.61,0.35,0x108013a00,
4,4,0,Twincast,Tenth Edition,UU,Instant,Blue,Rare,129887,8.84,22.46,35.36,0x108013a00,
4,4,0,Peek,Tenth Edition,U,Instant,Blue,Common,130903,0.43,7.69,1.72,0x108013a00,
4,4,0,Magus of the Bazaar,Planar Chaos,1U,Creature — Human Wizard,Blue,Rare,131008,0.57,6.37,2.28,0x108013a00,
4,4,0,Grave Scrabbler,Future Sight,3B,Creature  - Zombie,Black,Common,132211,0.20,2.94,0.80,0x108013a00,
4,4,0,Overgrowth,Tenth Edition,2G,Enchantment  - Aura,Green,Common,135282,0.42,9.98,1.68,0x108013a00,
4,4,0,Oblivion Ring,Lorwyn,2W,Enchantment,White,Common,139414,0.37,6.53,1.48,0x108013a00,
5,4,1,Knight of Meadowgrain,Lorwyn,WW,Creature  - Kithkin Knight,White,Uncommon,139715,1.19,3.84,8.60,0x108013a00,
4,4,0,Safewright Quest,Shadowmoor,{G/W},Sorcery,Gold,Common,142038,0.27,4.35,1.08,0x108013a00,
4,4,0,Safehold Elite,Shadowmoor,1{G/W},Creature — Elf Scout,Gold,Common,146077,0.29,1.61,1.16,0x108013a00,
2,2,0,Regal Force,Eventide,4GGG,Creature  - Elemental,Green,Rare,147373,2.36,18.80,4.72,0x108013a00,
4,4,0,Rotting Rats,Conflux,1B,Creature  - Zombie Rat,Black,Common,150833,0.82,1.75,3.28,0x108013a00,
4,4,0,Nettle Sentinel,Eventide,G,Creature  - Elf Warrior,Green,Common,151095,0.37,7.71,1.48,0x108013a00,
4,4,0,Spectral Procession,Shadowmoor,{2/W}{2/W}{2/W},Sorcery,White,Uncommon,152070,0.85,7.49,3.40,0x108013a00,
4,4,0,Heritage Druid,Morningtide,G,Creature  - Elf Druid,Green,Uncommon,152556,11.81,20.18,47.24,0x108013a00,
4,4,0,Fertilid,Morningtide,2G,Creature  - Elemental,Green,Common,152926,0.23,3.14,0.92,0x108013a00,
4,4,0,Order of the Golden Cricket,Morningtide,1W,Creature  - Kithkin Knight,White,Common,153463,0.08,0.33,0.32,0x108013a00,
4,4,0,Viridescent Wisps,Shadowmoor,G,Instant,Green,Common,158758,0.15,0.77,0.60,0x108013a00,
4,4,0,Steppe Lynx,Zendikar,W,Creature  - Cat,White,Common,171012,0.17,2.39,0.68,0x108013a00,
4,4,0,Wild Nacatl,Shards of Alara,G,Creature  - Cat Warrior,Green,Common,174989,0.43,2.05,1.72,0x108013a00,
2,2,0,Noble Hierarch,Conflux,G,Creature  - Human Druid,Green,Rare,179434,19.98,40.93,39.96,0x108013a00,
4,4,0,Qasali Pridemage,Alara Reborn,GW,Creature  - Cat Wizard,Gold,Common,179556,0.84,2.79,3.36,0x108013a00,
4,4,0,Thopter Foundry,Alara Reborn,{B/W}U,Artifact,Gold,Uncommon,183017,0.38,5.15,1.52,0x108013a00,
4,4,0,Bloodbraid Elf,Alara Reborn,2RG,Creature  - Elf Berserker,Gold,Uncommon,185053,1.64,10.34,6.56,0x108013a00,
1,1,0,Capricious Efreet,Magic 2010,4RR,Creature  - Efreet,Red,Rare,189914,0.18,0.39,0.18,0x108013a00,
1,1,0,Sanguine Bond,Magic 2010,3BB,Enchantment,Black,Rare,190190,3.76,8.07,3.76,0x108013a00,
4,4,0,Emeria Angel,Zendikar,2WW,Creature  - Angel,White,Rare,190399,1.08,3.25,4.32,0x108013a00,
4,4,0,Lightning Bolt,Magic 2010,R,Instant,Red,Common,191089,2.66,9.82,10.64,0x108013a00,
4,4,0,Time Warp,Magic 2010,3UU,Sorcery,Blue,Mythic Rare,191379,16.05,80.66,64.20,0x108013a00,
4,4,0,Smother,Worldwake,1B,Instant,Black,Uncommon,191578,0.10,0.62,0.40,0x108013a00,
1,1,0,"Emrakul, the Aeons Torn",Rise of the Eldrazi,15,Legendary Creature  - Eldrazi,Artifact,Mythic Rare,193452,36.65,123.32,36.65,0x108013a00,
4,4,0,Soul's Attendant,Rise of the Eldrazi,W,Creature  - Human Cleric,White,Common,193499,3.76,7.75,15.04,0x108013a00,
4,4,0,Memnite,Scars of Mirrodin,0,Artifact Creature — Construct,Artifact,Uncommon,194078,2.12,6.55,8.48,0x108013a00,
1,1,0,"Ezuri, Renegade Leader",Scars of Mirrodin,1GG,Legendary Creature — Elf Warrior,Green,Rare,194243,13.50,10.90,13.50,0x108013a00,
4,4,0,"Melira, Sylvok Outcast",New Phyrexia,1G,Legendary Creature  - Human Scout,Green,Rare,194274,4.81,15.12,19.24,0x108013a00,
4,4,0,Death Cultist,Rise of the Eldrazi,B,Creature  - Human Wizard,Black,Common,194948,0.19,0.63,0.76,0x108013a00,
1,1,0,Admonition Angel,Worldwake,3WWW,Creature  - Angel,White,Mythic Rare,197160,5.50,35.37,5.50,0x108013a00,
4,4,0,Bala Ged Thief,Zendikar,3B,Creature  - Human Rogue Ally,Black,Rare,197402,0.33,1.20,1.32,0x108013a00,
4,4,0,Bojuka Bog,Worldwake,,Land,Land,Common,197786,1.53,28.31,6.12,0x108013a00,
4,4,0,Loam Lion,Worldwake,W,Creature  - Cat,White,Uncommon,197873,0.39,2.66,1.56,0x108013a00,
4,4,0,Marshal's Anthem,Worldwake,2WW,Enchantment,White,Rare,198393,0.42,6.87,1.68,0x108013a00,
4,4,0,Knight Exemplar,Magic 2011,1WW,Creature  - Human Knight,White,Rare,204988,10.45,13.69,41.80,0x108013a00,
4,4,0,Preordain,Magic 2011,U,Sorcery,Blue,Common,205019,1.01,60.22,4.04,0x108013a00,
1,1,0,Sun Titan,Magic 2011,4WW,Creature  - Giant,White,Mythic Rare,205030,1.62,13.93,1.62,0x108013a00,
1,1,0,Liliana's Caress,Magic 2011,1B,Enchantment,Black,Uncommon,205035,8.32,17.38,8.32,0x108013a00,
4,4,0,Ajani's Pridemate,Magic 2011,1W,Creature  - Cat Soldier,White,Uncommon,205065,0.26,2.10,1.04,0x108013a00,
4,4,0,Viscera Seer,Magic 2011,B,Creature  - Vampire Wizard,Black,Common,205232,0.28,9.80,1.12,0x108013a00,
1,1,0,Voltaic Key,Magic 2011,1,Artifact,Artifact,Uncommon,206332,1.39,10.73,1.39,0x108013a00,
4,4,0,Squadron Hawk,Magic 2011,1W,Creature  - Bird,White,Common,208279,0.21,1.70,0.84,0x108013a00,
4,4,0,Trinket Mage,Scars of Mirrodin,2U,Creature — Human Wizard,Blue,Uncommon,209040,0.27,7.02,1.08,0x108013a00,
1,1,0,Sword of Body and Mind,Scars of Mirrodin,3,Artifact — Equipment,Artifact,Mythic Rare,209280,11.54,25.00,11.54,0x108013a00,
4,4,0,Signal Pest,Mirrodin Besieged,1,Artifact Creature  - Pest,Artifact,Uncommon,213773,0.42,3.18,1.68,0x108013a00,
4,4,0,Hero of Bladehold,Mirrodin Besieged,2WW,Creature  - Human Knight,White,Mythic Rare,214064,7.13,13.56,28.52,0x108013a00,
4,4,0,Geth's Verdict,New Phyrexia,BB,Instant,Black,Common,214376,0.37,2.50,1.48,0x108013a00,
4,4,0,Birthing Pod,New Phyrexia,3{GP},Artifact,Green,Rare,218006,16.96,42.09,67.84,0x108013a00,
4,4,0,Chancellor of the Annex,New Phyrexia,4WWW,Creature  - Angel,White,Rare,218083,2.00,16.00,8.00,0x108013a00,
1,1,0,Curse of Thirst,Dark Ascension,4B,Enchantment  - Aura Curse,Black,Uncommon,220003,0.23,0.55,0.23,0x108013a00,
4,4,0,Harvest Pyre,Innistrad,1R,Instant,Red,Common,220010,0.12,0.22,0.48,0x108013a00,
4,4,0,Ghoulraiser,Innistrad,1BB,Creature  - Zombie,Black,Common,220019,0.20,0.59,0.80,0x108013a00,
4,4,0,Ghoulcaller's Chant,Innistrad,B,Sorcery,Black,Common,220021,0.23,1.22,0.92,0x108013a00,
4,4,0,Feral Ridgewolf,Innistrad,2R,Creature  - Wolf,Red,Common,220022,0.07,0.22,0.28,0x108013a00,
4,4,0,Victim of Night,Innistrad,BB,Instant,Black,Common,220023,0.25,2.82,1.00,0x108013a00,
4,4,0,Travel Preparations,Innistrad,1G,Sorcery,Green,Common,220026,0.10,0.36,0.40,0x108013a00,
4,4,0,Frightful Delusion,Innistrad,2U,Instant,Blue,Common,220031,0.13,0.21,0.52,0x108013a00,
3,3,0,Into the Maw of Hell,Innistrad,4RR,Sorcery,Red,Uncommon,220035,0.15,0.25,0.45,0x108013a00,
4,4,0,Kessig Wolf,Innistrad,2R,Creature  - Wolf,Red,Common,220040,0.08,0.16,0.32,0x108013a00,
4,4,0,Invisible Stalker,Innistrad,1U,Creature  - Human Rogue,Blue,Uncommon,220041,0.54,6.96,2.16,0x108013a00,
4,4,0,One-Eyed Scarecrow,Innistrad,3,Artifact Creature  - Scarecrow,Artifact,Common,220045,0.23,0.46,0.92,0x108013a00,
4,4,0,Silent Departure,Innistrad,U,Sorcery,Blue,Common,220047,0.13,0.34,0.52,0x108013a00,
3,3,0,Butcher's Cleaver,Innistrad,3,Artifact  - Equipment,Artifact,Uncommon,220049,0.11,0.24,0.33,0x108013a00,
4,4,0,Boneyard Wurm,Innistrad,1G,Creature  - Wurm,Green,Uncommon,220050,0.20,0.48,0.80,0x108013a00,
4,4,0,Ghostly Possession,Innistrad,2W,Enchantment  - Aura,White,Common,220052,0.10,0.21,0.40,0x108013a00,
4,4,0,Gravepurge,Dark Ascension,2B,Instant,Black,Common,220056,0.11,0.30,0.44,0x108013a00,
4,4,0,Slayer of the Wicked,Innistrad,3W,Creature  - Human Soldier,White,Uncommon,220062,0.12,0.19,0.48,0x108013a00,
1,1,0,Phantasmal Dragon,Magic 2012,2UU,Creature  - Dragon Illusion,Blue,Uncommon,220068,0.14,0.90,0.14,0x108013a00,
2,2,0,Crimson Mage,Magic 2012,1R,Creature  - Human Shaman,Red,Uncommon,220069,0.08,0.25,0.16,0x108013a00,
2,2,0,Onyx Mage,Magic 2012,1B,Creature  - Human Wizard,Black,Uncommon,220072,0.16,0.53,0.32,0x108013a00,
3,3,0,Pride Guardian,Magic 2012,W,Creature  - Cat Monk,White,Common,220073,0.15,0.37,0.45,0x108013a00,
2,2,0,Timely Reinforcements,Magic 2012,2W,Sorcery,White,Uncommon,220074,1.14,14.39,2.28,0x108013a00,
2,2,0,Stingerfling Spider,Magic 2012,4G,Creature  - Spider,Green,Uncommon,220075,0.09,0.29,0.18,0x108013a00,
4,4,0,Garruk's Horde,Magic 2012,5GG,Creature  - Beast,Green,Rare,220077,0.22,0.85,0.88,0x108013a00,
1,1,0,Arbalest Elite,Magic 2012,2WW,Creature  - Human Archer,White,Uncommon,220078,0.14,0.21,0.14,0x108013a00,
4,4,0,Gladecover Scout,Magic 2012,G,Creature  - Elf Scout,Green,Common,220082,0.20,3.78,0.80,0x108013a00,
1,1,0,Aegis Angel,Magic 2012,4WW,Creature  - Angel,White,Rare,220086,0.55,1.11,0.55,0x108013a00,
4,4,0,Drifting Shade,Magic 2012,3B,Creature  - Shade,Black,Common,220088,0.09,0.25,0.36,0x108013a00,
1,1,0,Sphinx of Uthuun,Magic 2012,5UU,Creature  - Sphinx,Blue,Rare,220090,0.22,0.34,0.22,0x108013a00,
4,4,0,Guardians' Pledge,Magic 2012,1WW,Instant,White,Common,220095,0.13,0.34,0.52,0x108013a00,
1,1,0,"Garruk, Primal Hunter",Magic 2012,2GGG,Planeswalker  - Garruk,Green,Mythic Rare,220100,2.52,15.40,2.52,0x108013a00,
4,4,0,Merfolk Mesmerist,Magic 2012,1U,Creature  - Merfolk Wizard,Blue,Common,220106,0.13,0.36,0.52,0x108013a00,
1,1,0,Crumbling Colossus,Magic 2012,5,Artifact Creature  - Golem,Artifact,Uncommon,220113,0.07,0.00,0.07,0x108013a00,
3,3,0,Tormented Soul,Magic 2012,B,Creature  - Spirit,Black,Common,220122,0.20,0.35,0.60,0x108013a00,
4,4,0,Bloodrage Vampire,Magic 2012,2B,Creature  - Vampire,Black,Common,220125,0.07,0.21,0.28,0x108013a00,
2,2,0,Vampire Outcasts,Magic 2012,2BB,Creature  - Vampire,Black,Uncommon,220127,0.10,0.13,0.20,0x108013a00,
1,1,0,Rune-Scarred Demon,Magic 2012,5BB,Creature  - Demon,Black,Rare,220130,5.49,7.62,5.49,0x108013a00,
1,1,0,Lord of the Unreal,Magic 2012,UU,Creature  - Human Wizard,Blue,Rare,220131,0.76,2.88,0.76,0x108013a00,
3,3,0,Aven Fleetwing,Magic 2012,3U,Creature  - Bird Soldier,Blue,Common,220145,0.11,0.26,0.33,0x108013a00,
1,1,0,Adaptive Automaton,Magic 2012,3,Artifact Creature  - Construct,Artifact,Rare,220147,3.16,9.55,3.16,0x108013a00,
4,4,0,Skywinder Drake,Magic 2012,2U,Creature  - Drake,Blue,Common,220153,0.09,0.23,0.36,0x108013a00,
4,4,0,Spirit Mantle,Magic 2012,1W,Enchantment  - Aura,White,Uncommon,220154,0.76,5.89,3.04,0x108013a00,
1,1,0,Sutured Ghoul,Magic 2012,4BBB,Creature  - Zombie,Black,Rare,220157,0.14,0.67,0.14,0x108013a00,
3,3,0,Stonehorn Dignitary,Magic 2012,3W,Creature - Rhino Soldier,White,Common,220160,0.64,7.57,1.92,0x108013a00,
